catalog_path	row_anchor	package_role	hermes_intent	paax_package_source_api	loader_guard_mcp_relation	mapping_status	documentation_status	test_evidence	security_provenance_note	disposition
native/fts5_cjk/README.md	R37@L7046	non-skill-documentation	fts5_cjk — cjk_unicode61 FTS5 tokenizer — fts5_cjk — cjk_unicode61 FTS5 tokenizer	—	NOT-A-PAAX-SKILL-PACKAGE	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	No PAAX worker package is imported from this row	out-of-scope:phase-9-skill-package
optional-skills/autonomous-ai-agents/antigravity-cli/references/cli-docs.md	R38@L7047	reference-content	Antigravity CLI docs, condensed — Antigravity CLI docs, condensed	—	NO_RUNTIME_HANDLER; NO_EXEC	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	Progressive-disclosure/content row only; PAAX does not execute it	out-of-scope:content-only
optional-skills/autonomous-ai-agents/antigravity-cli/SKILL.md	R39@L7048	skill-manifest	antigravity-cli — Operate the Antigravity CLI (agy): plugins, auth, sandbox.	@paax/ai-orchestrator/tools; src/skills/format.ts; src/skills/loader.ts; src/skills/types.ts; src/tools/skills-guard.ts	SKILL_FORMAT/SKILL_LOADER/SKILL_GUARD; NO_EXEC	ABSENT	CURRENT	PAAX-BOUNDARY:E-SKILL-FORMAT,E-SKILL-LOADER,E-SKILL-GUARD; HERMES:NOT-RUN	Hermes package content is not imported, installed, or executed; PAAX treats skill text as untrusted data	gap:G-SKILL-PACKAGE
optional-skills/autonomous-ai-agents/blackbox/SKILL.md	R40@L7049	skill-manifest	blackbox — Delegate coding tasks to the Blackbox AI multi-model CLI.	@paax/ai-orchestrator/tools; src/skills/format.ts; src/skills/loader.ts; src/skills/types.ts; src/tools/skills-guard.ts	SKILL_FORMAT/SKILL_LOADER/SKILL_GUARD; NO_EXEC	ABSENT	CURRENT	PAAX-BOUNDARY:E-SKILL-FORMAT,E-SKILL-LOADER,E-SKILL-GUARD; HERMES:NOT-RUN	Hermes package content is not imported, installed, or executed; PAAX treats skill text as untrusted data	gap:G-SKILL-PACKAGE
optional-skills/autonomous-ai-agents/DESCRIPTION.md	R41@L7050	package-description	Optional autonomous AI agent integrations — external coding agent CLIs — that can be delegated to for independent coding tasks.	@paax/ai-orchestrator/tools; src/skills/format.ts; src/skills/loader.ts; src/skills/types.ts; src/tools/skills-guard.ts	SKILL_FORMAT/SKILL_LOADER/SKILL_GUARD; NO_EXEC	ABSENT	CURRENT	PAAX-BOUNDARY:E-SKILL-FORMAT,E-SKILL-LOADER,E-SKILL-GUARD; HERMES:NOT-RUN	Hermes package content is not imported, installed, or executed; PAAX treats skill text as untrusted data	gap:G-SKILL-PACKAGE
optional-skills/autonomous-ai-agents/grok/SKILL.md	R42@L7051	skill-manifest	grok — Delegate coding to xAI Grok Build CLI (features, PRs).	@paax/ai-orchestrator/tools; src/skills/format.ts; src/skills/loader.ts; src/skills/types.ts; src/tools/skills-guard.ts	SKILL_FORMAT/SKILL_LOADER/SKILL_GUARD; NO_EXEC	ABSENT	CURRENT	PAAX-BOUNDARY:E-SKILL-FORMAT,E-SKILL-LOADER,E-SKILL-GUARD; HERMES:NOT-RUN	Hermes package content is not imported, installed, or executed; PAAX treats skill text as untrusted data	gap:G-SKILL-PACKAGE
optional-skills/autonomous-ai-agents/honcho/SKILL.md	R43@L7052	skill-manifest	honcho — Configure and troubleshoot Honcho memory for Hermes.	@paax/ai-orchestrator/tools; src/skills/format.ts; src/skills/loader.ts; src/skills/types.ts; src/tools/skills-guard.ts	SKILL_FORMAT/SKILL_LOADER/SKILL_GUARD; NO_EXEC	ABSENT	CURRENT	PAAX-BOUNDARY:E-SKILL-FORMAT,E-SKILL-LOADER,E-SKILL-GUARD; HERMES:NOT-RUN	Hermes package content is not imported, installed, or executed; PAAX treats skill text as untrusted data	gap:G-SKILL-PACKAGE
optional-skills/autonomous-ai-agents/openhands/SKILL.md	R44@L7053	skill-manifest	openhands — Delegate coding to OpenHands CLI (model-agnostic, LiteLLM).	@paax/ai-orchestrator/tools; src/skills/format.ts; src/skills/loader.ts; src/skills/types.ts; src/tools/skills-guard.ts	SKILL_FORMAT/SKILL_LOADER/SKILL_GUARD; NO_EXEC	ABSENT	CURRENT	PAAX-BOUNDARY:E-SKILL-FORMAT,E-SKILL-LOADER,E-SKILL-GUARD; HERMES:NOT-RUN	Hermes package content is not imported, installed, or executed; PAAX treats skill text as untrusted data	gap:G-SKILL-PACKAGE
optional-skills/blockchain/evm/scripts/evm_client.py	R45@L7054	helper-script	evm_client.py — EVM blockchain CLI tool for the Hermes Agent project. — evm_client.py — EVM blockchain CLI tool for the Hermes Agent project.	@paax/ai-orchestrator/tools; src/skills/format.ts; src/skills/loader.ts; src/skills/types.ts; src/tools/skills-guard.ts	SKILL_FORMAT/SKILL_LOADER/SKILL_GUARD; NO_EXEC	ABSENT	CURRENT	PAAX-BOUNDARY:E-SKILL-FORMAT,E-SKILL-LOADER,E-SKILL-GUARD; HERMES:NOT-RUN	Hermes package content is not imported, installed, or executed; PAAX treats skill text as untrusted data	gap:G-SKILL-PACKAGE
optional-skills/blockchain/evm/SKILL.md	R46@L7055	skill-manifest	evm — Read-only EVM client: wallets, tokens, gas across 8 chains.	@paax/ai-orchestrator/tools; src/skills/format.ts; src/skills/loader.ts; src/skills/types.ts; src/tools/skills-guard.ts	SKILL_FORMAT/SKILL_LOADER/SKILL_GUARD; NO_EXEC	ABSENT	CURRENT	PAAX-BOUNDARY:E-SKILL-FORMAT,E-SKILL-LOADER,E-SKILL-GUARD; HERMES:NOT-RUN	Hermes package content is not imported, installed, or executed; PAAX treats skill text as untrusted data	gap:G-SKILL-PACKAGE
optional-skills/blockchain/hyperliquid/scripts/hyperliquid_client.py	R47@L7056	helper-script	Hyperliquid CLI Tool for Hermes Agent — Hyperliquid CLI Tool for Hermes Agent	@paax/ai-orchestrator/tools; src/skills/format.ts; src/skills/loader.ts; src/skills/types.ts; src/tools/skills-guard.ts	SKILL_FORMAT/SKILL_LOADER/SKILL_GUARD; NO_EXEC	ABSENT	CURRENT	PAAX-BOUNDARY:E-SKILL-FORMAT,E-SKILL-LOADER,E-SKILL-GUARD; HERMES:NOT-RUN	Hermes package content is not imported, installed, or executed; PAAX treats skill text as untrusted data	gap:G-SKILL-PACKAGE
optional-skills/blockchain/hyperliquid/SKILL.md	R48@L7057	skill-manifest	hyperliquid — Hyperliquid market data, account history, trade review.	@paax/ai-orchestrator/tools; src/skills/format.ts; src/skills/loader.ts; src/skills/types.ts; src/tools/skills-guard.ts	SKILL_FORMAT/SKILL_LOADER/SKILL_GUARD; NO_EXEC	ABSENT	CURRENT	PAAX-BOUNDARY:E-SKILL-FORMAT,E-SKILL-LOADER,E-SKILL-GUARD; HERMES:NOT-RUN	Hermes package content is not imported, installed, or executed; PAAX treats skill text as untrusted data	gap:G-SKILL-PACKAGE
optional-skills/blockchain/solana/scripts/solana_client.py	R49@L7058	helper-script	Solana Blockchain CLI Tool for Hermes Agent — Solana Blockchain CLI Tool for Hermes Agent	@paax/ai-orchestrator/tools; src/skills/format.ts; src/skills/loader.ts; src/skills/types.ts; src/tools/skills-guard.ts	SKILL_FORMAT/SKILL_LOADER/SKILL_GUARD; NO_EXEC	ABSENT	CURRENT	PAAX-BOUNDARY:E-SKILL-FORMAT,E-SKILL-LOADER,E-SKILL-GUARD; HERMES:NOT-RUN	Hermes package content is not imported, installed, or executed; PAAX treats skill text as untrusted data	gap:G-SKILL-PACKAGE
optional-skills/blockchain/solana/SKILL.md	R50@L7059	skill-manifest	solana — Query Solana wallets, tokens, txs, and NFTs in USD.	@paax/ai-orchestrator/tools; src/skills/format.ts; src/skills/loader.ts; src/skills/types.ts; src/tools/skills-guard.ts	SKILL_FORMAT/SKILL_LOADER/SKILL_GUARD; NO_EXEC	ABSENT	CURRENT	PAAX-BOUNDARY:E-SKILL-FORMAT,E-SKILL-LOADER,E-SKILL-GUARD; HERMES:NOT-RUN	Hermes package content is not imported, installed, or executed; PAAX treats skill text as untrusted data	gap:G-SKILL-PACKAGE
optional-skills/communication/DESCRIPTION.md	R51@L7060	package-description	Communication and decision-making frameworks — structured response formats for proposals, trade-off analysis, and stakeholder-ready recommendations. — Communication and decision-making frameworks — structured response formats for proposals, trade-off analysis, and stakeholder-ready recommendations.	@paax/ai-orchestrator/tools; src/skills/format.ts; src/skills/loader.ts; src/skills/types.ts; src/tools/skills-guard.ts	SKILL_FORMAT/SKILL_LOADER/SKILL_GUARD; NO_EXEC	ABSENT	CURRENT	PAAX-BOUNDARY:E-SKILL-FORMAT,E-SKILL-LOADER,E-SKILL-GUARD; HERMES:NOT-RUN	Hermes package content is not imported, installed, or executed; PAAX treats skill text as untrusted data	gap:G-SKILL-PACKAGE
optional-skills/communication/one-three-one-rule/SKILL.md	R52@L7061	skill-manifest	one-three-one-rule — >	@paax/ai-orchestrator/tools; src/skills/format.ts; src/skills/loader.ts; src/skills/types.ts; src/tools/skills-guard.ts	SKILL_FORMAT/SKILL_LOADER/SKILL_GUARD; NO_EXEC	ABSENT	CURRENT	PAAX-BOUNDARY:E-SKILL-FORMAT,E-SKILL-LOADER,E-SKILL-GUARD; HERMES:NOT-RUN	Hermes package content is not imported, installed, or executed; PAAX treats skill text as untrusted data	gap:G-SKILL-PACKAGE
optional-skills/creative/audiocraft-audio-generation/references/advanced-usage.md	R53@L7062	reference-content	AudioCraft Advanced Usage Guide — AudioCraft Advanced Usage Guide	—	NO_RUNTIME_HANDLER; NO_EXEC	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	Progressive-disclosure/content row only; PAAX does not execute it	out-of-scope:content-only
optional-skills/creative/audiocraft-audio-generation/references/troubleshooting.md	R54@L7063	reference-content	AudioCraft Troubleshooting Guide — AudioCraft Troubleshooting Guide	—	NO_RUNTIME_HANDLER; NO_EXEC	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	Progressive-disclosure/content row only; PAAX does not execute it	out-of-scope:content-only
optional-skills/creative/audiocraft-audio-generation/SKILL.md	R55@L7064	skill-manifest	audiocraft-audio-generation — AudioCraft: MusicGen text-to-music, AudioGen text-to-sound.	@paax/ai-orchestrator/tools; src/skills/format.ts; src/skills/loader.ts; src/skills/types.ts; src/tools/skills-guard.ts	SKILL_FORMAT/SKILL_LOADER/SKILL_GUARD; NO_EXEC	ABSENT	CURRENT	PAAX-BOUNDARY:E-SKILL-FORMAT,E-SKILL-LOADER,E-SKILL-GUARD; HERMES:NOT-RUN	Hermes package content is not imported, installed, or executed; PAAX treats skill text as untrusted data	gap:G-SKILL-PACKAGE
optional-skills/creative/baoyu-article-illustrator/PORT_NOTES.md	R56@L7065	package-content	Port Notes — baoyu-article-illustrator — Port Notes — baoyu-article-illustrator	@paax/ai-orchestrator/tools; src/skills/format.ts; src/skills/loader.ts; src/skills/types.ts; src/tools/skills-guard.ts	SKILL_FORMAT/SKILL_LOADER/SKILL_GUARD; NO_EXEC	ABSENT	CURRENT	PAAX-BOUNDARY:E-SKILL-FORMAT,E-SKILL-LOADER,E-SKILL-GUARD; HERMES:NOT-RUN	Hermes package content is not imported, installed, or executed; PAAX treats skill text as untrusted data	gap:G-SKILL-PACKAGE
optional-skills/creative/baoyu-article-illustrator/prompts/system.md	R57@L7066	prompt-content	Image Specifications — Create a cartoon-style infographic illustration following these guidelines:	—	NO_RUNTIME_HANDLER; NO_EXEC	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	Progressive-disclosure/content row only; PAAX does not execute it	out-of-scope:content-only
optional-skills/creative/baoyu-article-illustrator/references/palettes/macaron.md	R58@L7067	reference-content	macaron — macaron	—	NO_RUNTIME_HANDLER; NO_EXEC	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	Progressive-disclosure/content row only; PAAX does not execute it	out-of-scope:content-only
optional-skills/creative/baoyu-article-illustrator/references/palettes/mono-ink.md	R59@L7068	reference-content	mono-ink — mono-ink	—	NO_RUNTIME_HANDLER; NO_EXEC	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	Progressive-disclosure/content row only; PAAX does not execute it	out-of-scope:content-only
optional-skills/creative/baoyu-article-illustrator/references/palettes/neon.md	R60@L7069	reference-content	neon — neon	—	NO_RUNTIME_HANDLER; NO_EXEC	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	Progressive-disclosure/content row only; PAAX does not execute it	out-of-scope:content-only
optional-skills/creative/baoyu-article-illustrator/references/palettes/warm.md	R61@L7070	reference-content	warm — warm	—	NO_RUNTIME_HANDLER; NO_EXEC	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	Progressive-disclosure/content row only; PAAX does not execute it	out-of-scope:content-only
optional-skills/creative/baoyu-article-illustrator/references/prompt-construction.md	R62@L7071	reference-content	Prompt Construction — Prompt Construction	—	NO_RUNTIME_HANDLER; NO_EXEC	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	Progressive-disclosure/content row only; PAAX does not execute it	out-of-scope:content-only
optional-skills/creative/baoyu-article-illustrator/references/style-presets.md	R63@L7072	reference-content	Style Presets — Style Presets	—	NO_RUNTIME_HANDLER; NO_EXEC	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	Progressive-disclosure/content row only; PAAX does not execute it	out-of-scope:content-only
optional-skills/creative/baoyu-article-illustrator/references/styles.md	R64@L7073	reference-content	Style Reference — Style Reference	—	NO_RUNTIME_HANDLER; NO_EXEC	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	Progressive-disclosure/content row only; PAAX does not execute it	out-of-scope:content-only
optional-skills/creative/baoyu-article-illustrator/references/styles/blueprint.md	R65@L7074	reference-content	blueprint — blueprint	—	NO_RUNTIME_HANDLER; NO_EXEC	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	Progressive-disclosure/content row only; PAAX does not execute it	out-of-scope:content-only
optional-skills/creative/baoyu-article-illustrator/references/styles/chalkboard.md	R66@L7075	reference-content	chalkboard — chalkboard	—	NO_RUNTIME_HANDLER; NO_EXEC	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	Progressive-disclosure/content row only; PAAX does not execute it	out-of-scope:content-only
optional-skills/creative/baoyu-article-illustrator/references/styles/editorial.md	R67@L7076	reference-content	editorial — editorial	—	NO_RUNTIME_HANDLER; NO_EXEC	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	Progressive-disclosure/content row only; PAAX does not execute it	out-of-scope:content-only
optional-skills/creative/baoyu-article-illustrator/references/styles/elegant.md	R68@L7077	reference-content	elegant — elegant	—	NO_RUNTIME_HANDLER; NO_EXEC	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	Progressive-disclosure/content row only; PAAX does not execute it	out-of-scope:content-only
optional-skills/creative/baoyu-article-illustrator/references/styles/fantasy-animation.md	R69@L7078	reference-content	fantasy-animation — fantasy-animation	—	NO_RUNTIME_HANDLER; NO_EXEC	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	Progressive-disclosure/content row only; PAAX does not execute it	out-of-scope:content-only
optional-skills/creative/baoyu-article-illustrator/references/styles/flat-doodle.md	R70@L7079	reference-content	flat-doodle — flat-doodle	—	NO_RUNTIME_HANDLER; NO_EXEC	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	Progressive-disclosure/content row only; PAAX does not execute it	out-of-scope:content-only
optional-skills/creative/baoyu-article-illustrator/references/styles/flat.md	R71@L7080	reference-content	flat — flat	—	NO_RUNTIME_HANDLER; NO_EXEC	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	Progressive-disclosure/content row only; PAAX does not execute it	out-of-scope:content-only
optional-skills/creative/baoyu-article-illustrator/references/styles/ink-notes.md	R72@L7081	reference-content	ink-notes — ink-notes	—	NO_RUNTIME_HANDLER; NO_EXEC	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	Progressive-disclosure/content row only; PAAX does not execute it	out-of-scope:content-only
optional-skills/creative/baoyu-article-illustrator/references/styles/intuition-machine.md	R73@L7082	reference-content	intuition-machine — intuition-machine	—	NO_RUNTIME_HANDLER; NO_EXEC	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	Progressive-disclosure/content row only; PAAX does not execute it	out-of-scope:content-only
optional-skills/creative/baoyu-article-illustrator/references/styles/minimal.md	R74@L7083	reference-content	minimal — minimal	—	NO_RUNTIME_HANDLER; NO_EXEC	OUT-OF-SCOPE	NOT-APPLICABLE	NOT-RUN	Progressive-disclosure/content row only; PAAX does not execute it	out-of-scope:content-only
