ahsp_code,description,unit,division,subdivision,ahsp_type,status,source_page
CK-D3-001,Dinding bata ringan tebal demo,m2,Divisi 3 Pekerjaan Arsitektur,Dinding,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-023
CK-D3-002,Plesteran dinding mortar,m2,Divisi 3 Pekerjaan Arsitektur,Finishing dinding,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-024
CK-D3-003,Acian dinding,m2,Divisi 3 Pekerjaan Arsitektur,Finishing dinding,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-025
CK-D3-004,Pasangan keramik lantai,m2,Divisi 3 Pekerjaan Arsitektur,Finishing lantai,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-026
CK-D3-005,Pasangan keramik dinding,m2,Divisi 3 Pekerjaan Arsitektur,Finishing dinding,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-027
CK-D3-006,Plafon papan gipsum rangka metal,m2,Divisi 3 Pekerjaan Arsitektur,Plafon,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-028
CK-D3-007,Pengecatan dinding interior,m2,Divisi 3 Pekerjaan Arsitektur,Pengecatan,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-029
CK-D3-008,Pengecatan dinding eksterior,m2,Divisi 3 Pekerjaan Arsitektur,Pengecatan,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-030
CK-D3-009,Pemasangan kusen aluminium,m1,Divisi 3 Pekerjaan Arsitektur,Pintu dan jendela,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-031
CK-D3-010,Pemasangan daun pintu kayu,unit,Divisi 3 Pekerjaan Arsitektur,Pintu dan jendela,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-032
CK-D3-011,Pemasangan kaca jendela,m2,Divisi 3 Pekerjaan Arsitektur,Pintu dan jendela,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-033
CK-D3-012,Penutup atap metal ringan,m2,Divisi 3 Pekerjaan Arsitektur,Atap,Demo AHSP,SYNTHETIC_UNVERIFIED,DEMO-034
